iter	Passed	Remaining
0	24	24942
1	48	24401
2	71	23925
3	96	23945
4	120	23959
5	143	23693
6	165	23408
7	188	23336
8	211	23300
9	234	23176
10	256	23089
11	280	23118
12	303	23051
13	327	23081
14	353	23186
15	377	23201
16	399	23099
17	421	22977
18	445	22986
19	468	22935
20	491	22921
21	514	22882
22	536	22804
23	560	22805
24	583	22763
25	606	22731
26	628	22664
27	651	22626
28	675	22618
29	699	22613
30	724	22637
31	748	22654
32	772	22636
33	794	22572
34	817	22539
35	841	22536
36	864	22497
37	890	22547
38	914	22546
39	938	22521
40	960	22471
41	983	22444
42	1008	22453
43	1031	22409
44	1055	22397
45	1078	22372
46	1100	22317
47	1124	22306
48	1147	22271
49	1172	22283
50	1195	22250
51	1221	22260
52	1247	22282
53	1271	22274
54	1296	22280
55	1325	22343
56	1353	22384
57	1384	22484
58	1414	22561
59	1444	22632
60	1473	22675
61	1502	22730
62	1534	22815
63	1565	22888
64	1597	22984
65	1627	23031
66	1657	23077
67	1685	23107
68	1716	23157
69	1746	23203
70	1795	23489
71	1831	23600
72	1861	23640
73	1892	23683
74	1920	23680
75	1951	23725
76	1985	23799
77	2015	23826
78	2048	23879
79	2082	23951
80	2111	23957
81	2141	23976
82	2172	24005
83	2204	24036
84	2231	24020
85	2265	24078
86	2294	24079
87	2333	24186
88	2380	24369
89	2420	24473
90	2468	24662
91	2507	24743
92	2543	24804
93	2579	24864
94	2616	24924
95	2652	24980
96	2681	24965
97	2715	24992
98	2749	25022
99	2785	25069
100	2813	25045
101	2845	25050
102	2883	25113
103	2916	25124
104	2949	25137
105	2982	25157
106	3012	25137
107	3042	25131
108	3080	25179
109	3114	25195
110	3146	25199
111	3174	25167
112	3206	25171
113	3241	25190
114	3275	25204
115	3302	25170
116	3334	25164
117	3367	25167
118	3400	25175
119	3433	25179
120	3465	25173
121	3497	25167
122	3527	25152
123	3556	25125
124	3586	25102
125	3616	25088
126	3647	25069
127	3676	25044
128	3705	25020
129	3738	25020
130	3768	25000
131	3797	24969
132	3828	24957
133	3860	24947
134	3892	24943
135	3921	24911
136	3949	24881
137	3980	24865
138	4014	24867
139	4046	24855
140	4075	24831
141	4105	24806
142	4134	24778
143	4164	24753
144	4193	24730
145	4224	24709
146	4256	24697
147	4288	24687
148	4319	24669
149	4347	24634
150	4377	24613
151	4406	24583
152	4433	24545
153	4463	24520
154	4494	24502
155	4523	24475
156	4553	24449
157	4583	24425
158	4612	24395
159	4642	24372
160	4671	24345
161	4698	24306
162	4728	24278
163	4758	24259
164	4788	24231
165	4816	24197
166	4844	24166
167	4877	24152
168	4907	24131
169	4936	24103
170	4966	24077
171	4994	24042
172	5022	24010
173	5050	23977
174	5078	23940
175	5107	23912
176	5135	23877
177	5161	23834
178	5190	23804
179	5218	23772
180	5243	23726
181	5270	23689
182	5296	23647
183	5324	23611
184	5351	23574
185	5376	23527
186	5405	23499
187	5431	23461
188	5457	23419
189	5482	23374
190	5508	23329
191	5533	23287
192	5558	23240
193	5583	23199
194	5608	23151
195	5633	23108
196	5657	23060
197	5682	23018
198	5706	22971
199	5732	22929
200	5757	22886
201	5782	22844
202	5807	22800
203	5833	22761
204	5858	22719
205	5884	22681
206	5910	22642
207	5935	22599
208	5963	22569
209	5988	22527
210	6014	22491
211	6039	22448
212	6064	22407
213	6088	22363
214	6114	22324
215	6138	22281
216	6164	22242
217	6188	22200
218	6214	22161
219	6238	22118
220	6265	22084
221	6289	22043
222	6315	22005
223	6341	21967
224	6365	21927
225	6392	21892
226	6417	21853
227	6443	21817
228	6468	21779
229	6494	21742
230	6520	21706
231	6545	21668
232	6570	21627
233	6595	21590
234	6619	21550
235	6645	21513
236	6670	21474
237	6695	21437
238	6720	21397
239	6745	21359
240	6769	21319
241	6795	21285
242	6820	21246
243	6845	21210
244	6873	21183
245	6900	21151
246	6926	21115
247	6951	21078
248	6977	21045
249	7002	21007
250	7028	20974
251	7055	20943
252	7082	20910
253	7107	20875
254	7136	20849
255	7168	20832
256	7194	20798
257	7219	20762
258	7245	20729
259	7272	20697
260	7296	20660
261	7322	20626
262	7348	20591
263	7373	20557
264	7399	20521
265	7424	20488
266	7449	20452
267	7477	20424
268	7505	20395
269	7531	20363
270	7557	20330
271	7582	20295
272	7610	20266
273	7637	20236
274	7662	20200
275	7687	20166
276	7712	20131
277	7738	20096
278	7763	20061
279	7788	20027
280	7813	19992
281	7839	19958
282	7864	19926
283	7892	19897
284	7917	19863
285	7942	19827
286	7969	19797
287	7994	19763
288	8019	19728
289	8043	19692
290	8069	19659
291	8093	19623
292	8118	19590
293	8142	19553
294	8168	19520
295	8192	19485
296	8218	19453
297	8243	19418
298	8268	19384
299	8293	19352
300	8318	19317
301	8342	19282
302	8367	19248
303	8392	19214
304	8419	19185
305	8445	19154
306	8474	19128
307	8501	19101
308	8529	19074
309	8558	19049
310	8586	19022
311	8611	18989
312	8636	18956
313	8660	18921
314	8689	18896
315	8718	18871
316	8744	18839
317	8772	18813
318	8798	18782
319	8825	18754
320	8851	18723
321	8876	18690
322	8902	18659
323	8927	18625
324	8955	18599
325	8983	18572
326	9007	18538
327	9035	18510
328	9059	18476
329	9086	18449
330	9112	18417
331	9138	18387
332	9165	18358
333	9192	18329
334	9219	18301
335	9249	18278
336	9275	18248
337	9303	18222
338	9331	18194
339	9357	18163
340	9386	18140
341	9415	18115
342	9440	18083
343	9467	18054
344	9494	18025
345	9523	18000
346	9551	17975
347	9579	17946
348	9604	17915
349	9633	17890
350	9659	17860
351	9686	17832
352	9713	17802
353	9742	17778
354	9769	17750
355	9798	17724
356	9824	17694
357	9850	17664
358	9878	17637
359	9903	17606
360	9932	17580
361	9961	17555
362	9987	17525
363	10015	17500
364	10043	17472
365	10069	17442
366	10099	17419
367	10126	17392
368	10153	17362
369	10182	17338
370	10211	17312
371	10237	17283
372	10264	17254
373	10293	17229
374	10320	17201
375	10351	17178
376	10379	17152
377	10407	17125
378	10433	17094
379	10461	17069
